"","RXDDRGID","RXDDRUG","RXDINGFL","RXDDCI1A","RXDDCI1B","RXDDCI1C","RXDDCI2A","RXDDCI2B","RXDDCI2C","RXDDCI3A","RXDDCI3B","RXDDCI3C","RXDDCI4A","RXDDCI4B","RXDDCI4C","RXDICI1A","RXDICI1B","RXDICI1C","RXDICI2A","RXDICI2B","RXDICI2C","RXDICI3A","RXDICI3B","RXDICI3C","RXDICI4A","RXDICI4B","RXDICI4C","RXDICI5A","RXDICI5B","RXDICI5C","RXDICI6A","RXDICI6B","RXDICI6C","RXDDCN1A","RXDDCN1B","RXDDCN1C","RXDDCN2A","RXDDCN2B","RXDDCN2C","RXDDCN3A","RXDDCN3B","RXDDCN3C","RXDDCN4A","RXDDCN4B","RXDDCN4C","RXDICN1A","RXDICN1B","RXDICN1C","RXDICN2A","RXDICN2B","RXDICN2C","RXDICN3A","RXDICN3B","RXDICN3C","RXDICN4A","RXDICN4B","RXDICN4C","RXDICN5A","RXDICN5B","RXDICN5C","RXDICN6A","RXDICN6B","RXDICN6C"
"1095","d04378","MODAFINIL",1,57,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","CNS STIMULANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","CNS STIMULANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096","d04380","CELECOXIB",1,57,58,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","COX-2 INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","COX-2 INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","d04382","CILOSTAZOL",1,40,51,NA,81,83,211,NA,NA,NA,NA,NA,NA,40,51,NA,81,83,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","MISCELLANEOUS CARDIOVASCULAR AGENTS",NA,"COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS",NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","MISCELLANEOUS CARDIOVASCULAR AGENTS",NA,"COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","d04393","BUTABARBITAL; HYOSCYAMINE; PHENAZOPYRIDINE",2,113,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,68,87,355,89,113,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENITOURINARY TRACT AGENTS","URINARY ANTISPASMODICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","BARBITURATES","GASTROINTESTINAL AGENTS","FUNCTIONAL BOWEL DISORDER AGENTS","ANTICHOLINERGICS/ANTISPASMODICS","GENITOURINARY TRACT AGENTS","MISCELLANEOUS GENITOURINARY TRACT AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099","d04394","CROMOLYN NASAL",1,133,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","NASAL PREPARATIONS","NASAL ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","d04395","CLOTRIMAZOLE TOPICAL",1,133,136,292,133,151,268,NA,NA,NA,NA,NA,NA,133,136,292,133,151,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIFUNGALS","TOPICAL AGENTS","VAGINAL PREPARATIONS","VAGINAL ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIFUNGALS","TOPICAL AGENTS","VAGINAL PREPARATIONS","VAGINAL ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101","d04396","CONJUGATED ESTROGENS TOPICAL",1,97,101,183,133,151,269,NA,NA,NA,NA,NA,NA,97,101,183,133,151,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","TOPICAL AGENTS","VAGINAL PREPARATIONS","MISCELLANEOUS VAGINAL AGENTS",NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","TOPICAL AGENTS","VAGINAL PREPARATIONS","MISCELLANEOUS VAGINAL AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1102","d04397","FLUORIDE TOPICAL",1,133,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","MOUTH AND THROAT PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","MOUTH AND THROAT PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103","d04399","NYSTATIN TOPICAL",1,133,136,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTIFUNGALS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104","d04418","GLUCOSAMINE",1,218,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALTERNATIVE MEDICINES","NUTRACEUTICAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALTERNATIVE MEDICINES","NUTRACEUTICAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105","d04425","DEHYDROEPIANDROSTERONE",1,218,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALTERNATIVE MEDICINES","NUTRACEUTICAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALTERNATIVE MEDICINES","NUTRACEUTICAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","d04427","LEVALBUTEROL",1,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,125,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","BRONCHODILATORS","ADRENERGIC BRONCHODILATORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107","d04429","ORLISTAT",1,358,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","PERIPHERALLY ACTING ANTIOBESITY AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","PERIPHERALLY ACTING ANTIOBESITY AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","d04433","ROFECOXIB",1,57,58,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","COX-2 INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","COX-2 INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","d04434","ROSIGLITAZONE",1,358,99,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,99,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","THIAZOLIDINEDIONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","THIAZOLIDINEDIONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110","d04436","MALATHION TOPICAL",1,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,136,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","DERMATOLOGICAL AGENTS","TOPICAL ANTI-INFECTIVES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111","d04440","PERINDOPRIL",1,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112","d04441","KETOTIFEN OPHTHALMIC",1,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1113","d04442","PIOGLITAZONE",1,358,99,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,99,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","THIAZOLIDINEDIONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","THIAZOLIDINEDIONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114","d04445","CARBETAPENTANE; CHLORPHENIRAMINE; PHENYLEPHRINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,122,123,NA,122,124,NA,122,127,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS",NA,"RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","ANTITUSSIVES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA
"1115","d04446","PHENYLEPHRINE; PYRILAMINE",2,122,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,54,NA,57,67,70,122,123,NA,122,127,NA,NA,NA,NA,NA,NA,NA,"RESPIRATORY AGENTS","UPPER RESPIRATORY COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","VASOPRESSORS",NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS","RESPIRATORY AGENTS","ANTIHISTAMINES",NA,"RESPIRATORY AGENTS","DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA
"1116","d04448","RABEPRAZOLE",1,87,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","PROTON PUMP INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","PROTON PUMP INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117","d04451","TEMOZOLOMIDE",1,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ALKYLATING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ALKYLATING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1118","d04452","ZALEPLON",1,57,67,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,67,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANXIOLYTICS, SEDATIVES, AND HYPNOTICS","MISCELLANEOUS ANXIOLYTICS, SEDATIVES AND HYPNOTICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1119","d04453","SIROLIMUS",1,20,403,NA,254,104,444,NA,NA,NA,NA,NA,NA,20,403,NA,254,104,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","MTOR INHIBITORS",NA,"IMMUNOLOGIC AGENTS","IMMUNOSUPPRESSIVE AGENTS","SELECTIVE IMMUNOSUPPRESSANTS",NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","MTOR INHIBITORS",NA,"IMMUNOLOGIC AGENTS","IMMUNOSUPPRESSIVE AGENTS","SELECTIVE IMMUNOSUPPRESSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120","d04459","DOFETILIDE",1,40,46,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,46,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","GROUP III ANTIARRHYTHMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIARRHYTHMIC AGENTS","GROUP III ANTIARRHYTHMICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1121","d04460","ENTACAPONE",1,57,66,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,66,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTIPARKINSON AGENTS","DOPAMINERGIC ANTIPARKINSONISM AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122","d04461","EXEMESTANE",1,20,24,NA,97,423,NA,NA,NA,NA,NA,NA,NA,20,24,NA,97,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES",NA,"HORMONES/HORMONE MODIFIERS","AROMATASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,"ANTINEOPLASTICS","ANTINEOPLASTIC HORMONES",NA,"HORMONES/HORMONE MODIFIERS","AROMATASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1123","d04462","OSELTAMIVIR",1,1,7,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","NEURAMINIDASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","ANTIVIRAL AGENTS","NEURAMINIDASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1124","d04497","ASPIRIN; DIPYRIDAMOLE",2,81,83,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,62,81,83,211,331,332,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","SALICYLATES","COAGULATION MODIFIERS","ANTIPLATELET AGENTS","PLATELET AGGREGATION INHIBITORS","RADIOLOGIC AGENTS","RADIOLOGIC ADJUNCTS","CARDIAC STRESSING AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1125","d04499","LEVETIRACETAM",1,57,64,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,64,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","PYRROLIDINE ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","PYRROLIDINE ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1126","d04500","MOXIFLOXACIN",1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1127","d04504","GATIFLOXACIN",1,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTI-INFECTIVES","QUINOLONES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1128","d04506","ESTRADIOL; NORGESTIMATE",2,97,101,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,101,183,97,101,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","SEX HORMONE COMBINATIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HORMONES/HORMONE MODIFIERS","SEX HORMONES","ESTROGENS","HORMONES/HORMONE MODIFIERS","SEX HORMONES","PROGESTINS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129","d04509","HYDROCHLOROTHIAZIDE; QUINAPRIL",2,40,55,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ACE INHIBITORS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130","d04510","INSULIN LISPRO; INSULIN LISPRO PROTAMINE",2,358,99,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,99,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","INSULIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","INSULIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131","d04512","CEVIMELINE",1,57,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","CHOLINERGIC AGONISTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","CHOLINERGIC AGONISTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132","d04513","OXCARBAZEPINE",1,57,64,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,64,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","DIBENZAZEPINE ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","DIBENZAZEPINE ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133","d04514","PANTOPRAZOLE",1,87,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","PROTON PUMP INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GASTROINTESTINAL AGENTS","PROTON PUMP INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134","d04523","UBIQUINONE",1,218,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALTERNATIVE MEDICINES","NUTRACEUTICAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALTERNATIVE MEDICINES","NUTRACEUTICAL PRODUCTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135","d04527","ZONISAMIDE",1,57,64,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,64,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","CARBONIC ANHYDRASE INHIBITOR ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANTICONVULSANTS","CARBONIC ANHYDRASE INHIBITOR ANTICONVULSANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136","d04532","MELOXICAM",1,57,58,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,58,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","ANALGESICS","NONSTEROIDAL ANTI-INFLAMMATORY AGENTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1137","d04537","RIVASTIGMINE",1,57,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","CHOLINESTERASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL NERVOUS SYSTEM AGENTS","CHOLINESTERASE INHIBITORS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1138","d04538","INSULIN GLARGINE",1,358,99,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,99,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","INSULIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"METABOLIC AGENTS","ANTIDIABETIC AGENTS","INSULIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","d04539","FOSINOPRIL; HYDROCHLOROTHIAZIDE",2,40,55,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,NA,40,49,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANTIHYPERTENSIVE COMBINATIONS","ACE INHIBITORS WITH THIAZIDES",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDIOVASCULAR AGENTS","ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS",NA,"CARDIOVASCULAR AGENTS","DIURETICS","THIAZIDE AND THIAZIDE-LIKE DIURETICS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140","d04541","AZELASTINE OPHTHALMIC",1,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,147,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOPICAL AGENTS","OPHTHALMIC PREPARATIONS","OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
